iter	Passed	Remaining
0	58	17544
1	59	8900
2	60	6014
3	61	4566
4	62	3703
5	63	3120
6	64	2703
7	65	2388
8	66	2146
9	67	1950
10	68	1788
11	68	1653
12	70	1546
13	71	1460
14	72	1376
15	74	1315
16	75	1248
17	76	1192
18	76	1138
19	77	1088
20	78	1047
21	79	1006
22	80	971
23	81	936
24	82	903
25	82	873
26	83	845
27	84	821
28	85	796
29	86	777
30	87	755
31	87	735
32	88	715
33	89	697
34	89	681
35	90	664
36	91	651
37	92	638
38	93	626
39	94	614
40	95	601
41	96	590
42	96	579
43	97	567
44	98	556
45	98	546
46	99	535
47	100	526
48	100	517
49	101	509
50	102	502
51	103	495
52	104	486
53	105	479
54	105	471
55	106	463
56	107	456
57	107	449
58	108	442
59	108	435
60	109	429
61	110	422
62	110	417
63	111	412
64	112	407
65	113	402
66	114	398
67	115	393
68	116	388
69	116	383
70	117	379
71	118	375
72	119	371
73	120	366
74	121	363
75	122	359
76	122	355
77	123	350
78	123	346
79	124	342
80	125	338
81	125	334
82	126	331
83	127	327
84	128	323
85	128	320
86	129	316
87	130	313
88	130	309
89	131	306
90	132	303
91	132	299
92	133	296
93	134	293
94	135	292
95	136	289
96	136	286
97	137	283
98	138	280
99	138	277
100	139	274
101	140	271
102	140	269
103	141	266
104	141	263
105	142	261
106	143	259
107	144	256
108	145	254
109	145	251
110	146	249
111	147	246
112	147	244
113	148	242
114	149	240
115	150	239
116	151	237
117	152	235
118	153	233
119	154	231
120	154	228
121	155	226
122	156	224
123	156	222
124	157	220
125	158	218
126	159	217
127	160	215
128	160	213
129	161	211
130	162	209
131	162	207
132	163	205
133	164	204
134	165	202
135	166	200
136	167	199
137	168	197
138	168	195
139	169	193
140	170	192
141	171	190
142	172	189
143	172	187
144	173	185
145	174	184
146	175	183
147	176	181
148	177	180
149	178	178
150	178	176
151	180	175
152	181	173
153	181	172
154	183	171
155	183	169
156	184	168
157	185	166
158	186	165
159	186	163
160	187	161
161	188	160
162	188	158
163	189	157
164	190	156
165	191	154
166	192	153
167	193	151
168	193	150
169	194	148
170	195	147
171	196	145
172	196	144
173	197	143
174	198	141
175	199	140
176	200	138
177	200	137
178	201	136
179	201	134
180	202	133
181	203	131
182	203	130
183	204	128
184	205	127
185	206	126
186	206	125
187	207	123
188	208	122
189	209	121
190	209	119
191	210	118
192	211	117
193	211	115
194	212	114
195	212	112
196	213	111
197	214	110
198	215	109
199	215	107
200	216	106
201	217	105
202	218	104
203	218	102
204	219	101
205	220	100
206	220	99
207	221	97
208	222	96
209	223	95
210	223	94
211	224	93
212	225	91
213	225	90
214	226	89
215	227	88
216	228	87
217	228	86
218	229	84
219	230	83
220	231	82
221	232	81
222	232	80
223	233	79
224	234	78
225	234	76
226	235	75
227	236	74
228	236	73
229	237	72
230	237	71
231	238	69
232	239	68
233	240	67
234	241	66
235	241	65
236	242	64
237	243	63
238	244	62
239	245	61
240	245	60
241	246	59
242	247	58
243	248	57
244	249	55
245	249	54
246	250	53
247	251	52
248	251	51
249	252	50
250	253	49
251	254	48
252	255	47
253	256	46
254	257	45
255	257	44
256	258	43
257	259	42
258	259	41
259	260	40
260	261	39
261	262	38
262	262	36
263	263	35
264	264	34
265	264	33
266	265	32
267	266	31
268	266	30
269	267	29
270	268	28
271	269	27
272	269	26
273	270	25
274	271	24
275	271	23
276	272	22
277	273	21
278	273	20
279	274	19
280	275	18
281	275	17
282	276	16
283	277	15
284	277	14
285	278	13
286	279	12
287	279	11
288	280	10
289	281	9
290	282	8
291	282	7
292	283	6
293	283	5
294	284	4
295	285	3
296	285	2
297	286	1
298	287	0
299	287	0
